,Chemical.name,Model,xfree,PredFoldChange,PredFracChange
997,Lamotrigine,in vivo Linear,1.77827941,1,0
998,Lamotrigine,in vivo Linear,1.995262315,1,0
999,Lamotrigine,in vivo Linear,2.238721139,1,0
1000,Lamotrigine,in vivo Linear,2.511886432,1,0
1001,Lamotrigine,in vivo Linear,2.818382931,1,0
1002,Lamotrigine,in vivo Linear,3.16227766,1,0
1003,Lamotrigine,in vivo Linear,3.548133892,1,0
1004,Lamotrigine,in vivo Linear,3.981071706,1,0
1005,Lamotrigine,in vivo Linear,4.466835922,1,0
1006,Lamotrigine,in vivo Linear,5.011872336,1,0
1007,Lamotrigine,in vivo Linear,5.623413252,1,0
1008,Lamotrigine,in vivo Linear,6.309573445,1,0
1009,Lamotrigine,in vivo Linear,7.079457844,1,0
1010,Lamotrigine,in vivo Linear,7.943282347,1,0
1011,Lamotrigine,in vivo Linear,8.912509381,1,0
1012,Lamotrigine,in vivo Linear,10,1,0
1013,Lamotrigine,in vivo Linear,11.22018454,1,0
1014,Lamotrigine,in vivo Linear,12.58925412,1,0
1015,Lamotrigine,in vivo Linear,14.12537545,1,0
1016,Lamotrigine,in vivo Linear,15.84893192,1,0
1017,Lamotrigine,in vivo Linear,17.7827941,1,0
1018,Lamotrigine,in vivo Linear,19.95262315,1,0
1019,Lamotrigine,in vivo Linear,22.38721139,1,0
1020,Mifepristone,in vivo Linear,0.001,1,0
1021,Mifepristone,in vivo Linear,0.001122018,1,0
1022,Mifepristone,in vivo Linear,0.001258925,1,0
1023,Mifepristone,in vivo Linear,0.001412538,1,0
1024,Mifepristone,in vivo Linear,0.001584893,1,0
1025,Mifepristone,in vivo Linear,0.001778279,1,0
1026,Mifepristone,in vivo Linear,0.001995262,1,0
1027,Mifepristone,in vivo Linear,0.002238721,1,0
1028,Mifepristone,in vivo Linear,0.002511886,1,0
1029,Mifepristone,in vivo Linear,0.002818383,1,0
1030,Mifepristone,in vivo Linear,0.003162278,1,0
1031,Mifepristone,in vivo Linear,0.003548134,1,0
1032,Mifepristone,in vivo Linear,0.003981072,1,0
1033,Mifepristone,in vivo Linear,0.004466836,1,0
1034,Mifepristone,in vivo Linear,0.005011872,1,0
1035,Mifepristone,in vivo Linear,0.005623413,1,0
1036,Mifepristone,in vivo Linear,0.006309573,1,0
1037,Mifepristone,in vivo Linear,0.007079458,1,0
1038,Mifepristone,in vivo Linear,0.007943282,1,0
1039,Mifepristone,in vivo Linear,0.008912509,1,0
1040,Mifepristone,in vivo Linear,0.01,1,0
1041,Mifepristone,in vivo Linear,0.011220185,1,0
1042,Mifepristone,in vivo Linear,0.012589254,1,0
1043,Mifepristone,in vivo Linear,0.014125375,1,0
1044,Mifepristone,in vivo Linear,0.015848932,1,0
1045,Mifepristone,in vivo Linear,0.017782794,1,0
1046,Mifepristone,in vivo Linear,0.019952623,1,0
1047,Mifepristone,in vivo Linear,0.022387211,1,0
1048,Mifepristone,in vivo Linear,0.025118864,1,0
1049,Mifepristone,in vivo Linear,0.028183829,1,0
1050,Mifepristone,in vivo Linear,0.031622777,1,0
1051,Mifepristone,in vivo Linear,0.035481339,1,0
1052,Mifepristone,in vivo Linear,0.039810717,1,0
1053,Mifepristone,in vivo Linear,0.044668359,1,0
1054,Mifepristone,in vivo Linear,0.050118723,1,0
1055,Mifepristone,in vivo Linear,0.056234133,1,0
1056,Mifepristone,in vivo Linear,0.063095734,1,0
1057,Mifepristone,in vivo Linear,0.070794578,1,0
1058,Mifepristone,in vivo Linear,0.079432823,1,0
1059,Mifepristone,in vivo Linear,0.089125094,1,0
1060,Mifepristone,in vivo Linear,0.1,1,0
1061,Mifepristone,in vivo Linear,0.112201845,1,0
1062,Mifepristone,in vivo Linear,0.125892541,1,0
1063,Mifepristone,in vivo Linear,0.141253754,1,0
1064,Mifepristone,in vivo Linear,0.158489319,1,0
1065,Mifepristone,in vivo Linear,0.177827941,1,0
1066,Mifepristone,in vivo Linear,0.199526231,1,0
1067,Mifepristone,in vivo Linear,0.223872114,1,0
1068,Mifepristone,in vivo Linear,0.251188643,1,0
