"freeconcentration","PrQTc10","safemin","safemax","InVitroconcentration","InVivoconcentration","Chemical.num","Chemical.name","InVitroModel","CmaxFreeInVivo.x","CmaxInVivo.x","CmaxInVivo.y"
4.406861536e-05,0.236125,NA,NA,7.153996e-05,0.000616,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
4.94457996894549e-05,0.255375,NA,NA,8.02691553400243e-05,0.000691163367850009,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
5.54790997392868e-05,0.27825,NA,NA,9.00634736027383e-05,0.000775498053665207,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
6.2248573735539e-05,0.301,NA,NA,0.00010105287944081,0.000870123127487616,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
6.98440484852513e-05,0.3265,NA,NA,0.00011338319559294,0.000976294206556046,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
7.8366311323613e-05,0.351375,NA,NA,0.000127218037863008,0.00109542011658398,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
8.79284475006667e-05,0.378875,NA,NA,0.000142740986202381,0.00122908158602083,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
9.86573407538694e-05,0.40475,NA,NA,0.000160158020704333,0.0013790522213581,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.000110695356978199,0.43325,NA,NA,0.000179700254834738,0.0015473220418099,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.000124202233335083,0.45875,NA,NA,0.000201627002167342,0.0017361238856589,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.000139357197867481,0.487875,NA,NA,0.000226229217317339,0.00194796303866372,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.000156361347747124,0.5185,NA,NA,0.000253833356732344,0.00218565047767882,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.0001754403177118,0.545,NA,NA,0.000284805710571104,0.00245234017060954,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.000196847274101239,0.571,NA,NA,0.000319557263151362,0.00275157092764993,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.000220866274220627,0.598875,NA,NA,0.000358549146462057,0.003087313359144,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.000247816035608462,0.624125,NA,NA,0.000402298759104646,0.00346402256317255,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.000278054165224646,0.653375,NA,NA,0.000451386631858192,0.00388669724199799,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.000311981904677581,0.68025,NA,NA,0.000506464130970099,0.00436094603180629,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.000350049454456522,0.70525,NA,NA,0.000568262101390457,0.00489306192590157,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.000392761947818552,0.729,NA,NA,0.000637600564640507,0.00549010577890387,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.0004406861536,0.75375,NA,NA,0.0007153996,0.00616,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.00049445799689455,0.774,NA,NA,0.000802691553400243,0.0069116336785001,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.000554790997392868,0.793625,NA,NA,0.000900634736027383,0.00775498053665207,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.00062248573735539,0.813625,NA,NA,0.0010105287944081,0.00870123127487617,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.000698440484852513,0.834,NA,NA,0.0011338319559294,0.00976294206556046,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.00078366311323613,0.852375,NA,NA,0.00127218037863008,0.0109542011658398,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.000879284475006667,0.86875,NA,NA,0.00142740986202381,0.0122908158602083,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.000986573407538694,0.8845,NA,NA,0.00160158020704333,0.013790522213581,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.00110695356978199,0.89875,NA,NA,0.00179700254834738,0.015473220418099,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.00124202233335083,0.911125,NA,NA,0.00201627002167342,0.017361238856589,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.00139357197867481,0.92375,NA,NA,0.00226229217317339,0.0194796303866372,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.00156361347747124,0.934625,NA,NA,0.00253833356732344,0.0218565047767883,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.001754403177118,0.944625,NA,NA,0.00284805710571104,0.0245234017060954,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.00196847274101239,0.952375,NA,NA,0.00319557263151362,0.0275157092764993,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.00220866274220627,0.960375,NA,NA,0.00358549146462057,0.03087313359144,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.00247816035608462,0.966375,NA,NA,0.00402298759104646,0.0346402256317255,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.00278054165224647,0.970875,NA,NA,0.00451386631858192,0.0388669724199799,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.00311981904677581,0.97525,NA,NA,0.00506464130970099,0.0436094603180629,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.00350049454456522,0.979,NA,NA,0.00568262101390457,0.0489306192590158,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
0.00392761947818552,0.981625,NA,NA,0.00637600564640507,0.0549010577890387,17,"Cisapride","Population median",0.035481339,0.49596531784474,1
