"Cell.line"	"Timepoint"	"Plate"	"Well"	"Chemical.Number"	"Chemical.Concentration"	"Solvent"	"baseline"	"height"	"amplitude"	"notch.amp"	"notch.frac"	"n.peaks"	"n.peaks.expected"	"BPM"	"peak.max.avg"	"peak.max.sd"	"peak.max.cv"	"peak.amp.avg"	"peak.amp.sd"	"peak.amp.cv"	"peak.spacing.avg"	"peak.spacing.sd"	"peak.spacing.cv"	"peak.freq.avg"	"peak.freq.sd"	"peak.freq.cv"	"peak.width.avg"	"peak.width.sd"	"peak.width.cv"	"rise.times.avg"	"rise.times.sd"	"rise.times.cv"	"decay.times.avg"	"decay.times.sd"	"decay.times.cv"	"decay.rise.ratio.avg"	"decay.rise.ratio.sd"	"decay.rise.ratio.cv"
1258	"90min"	1	"J14"	35	0.1	"DMSO"	847.12915851272	1852.78082191781	1005.65166340509	0	0	35	35.6895765483227	23.36578581363	1876.2	18.0535152190565	0.00962238312496351	1029.07084148728	18.0535152190565	0.017543510603181	2.52205882352941	0.09957574889636	0.0394819295915597	0.397102381622505	0.0156962322179369	0.0395269153355472	1.37857142857143	0.0566019567913075	0.0410584142527619	0.475	0.0664211164155071	0.139833929295805	0.903571428571429	0.0612801117887389	0.0678198865646122	1.95285714285714	0.392380153516905	0.200926194193002
1118	"90min"	1	"G14"	35	100	"DMSO"	845.794520547945	1087.43835616438	241.643835616438	0	0	70	71.1842629190455	46.7315716272601	1096.85714285714	13.9182767073024	0.0126892337784731	251.062622309198	13.9182767073024	0.055437470457714	1.26811594202899	0.0837850078249796	0.0660704633134124	0.792036305079783	0.0533594842821429	0.06736999799115	0.8375	0.0650738153889517	0.0777000780763602	0.221428571428571	0.0644494120072056	0.291061860677703	0.616071428571429	0.0683707542843274	0.110978615649923	3.16190476190476	1.40649844123425	0.444826314245773
1118	"90min"	1	"H14"	35	10	"DMSO"	802.667318982387	1193.11741682975	390.450097847358	0	0	47	47.1156066439954	31.3769123783032	1206.21276595745	14.7912079793204	0.0122625198445646	403.545446975059	14.7912079793204	0.0366531405327305	1.91847826086957	0.154149529012209	0.0803498961423414	0.524234844439448	0.0386540039153404	0.0737341371435777	1.28989361702128	0.135700635037852	0.105202966544809	0.279255319148936	0.0699998348088443	0.250666075125004	1.01063829787234	0.153823080974599	0.152203890648551	3.97163120567376	1.65551309563721	0.416834547294369
1118	"90min"	1	"I14"	35	1	"DMSO"	759.076320939335	1456.16046966732	697.084148727984	0	0	39	39.1779530579545	26.0361613351878	1475.38461538462	11.8446421034451	0.008028172437163	716.308294445281	11.8446421034451	0.0165356763216288	2.29934210526316	0.110814984916006	0.0481942137546005	0.435916028461246	0.021554521132976	0.0494464982374289	1.23076923076923	0.0674881905998771	0.0548341548624002	0.330128205128205	0.0671750186520568	0.203481609897493	0.900641025641026	0.0820155592361298	0.091063539080685	2.88247863247863	0.816881002288482	0.283395336598228
1118	"90min"	1	"J14"	35	0.1	"DMSO"	821.579256360078	1676.99608610568	855.416829745597	0	0	41	41.299371130031	27.3713490959666	1697.92682926829	16.3758820280045	0.00964463352938571	876.347572908214	16.3758820280045	0.0186865149562292	2.18125	0.105725515441565	0.0484701503457032	0.459520123839009	0.0226197532675465	0.0492247283504633	1.14939024390244	0.0501522073536053	0.0436337506949139	0.356707317073171	0.0596930665582021	0.167344665222994	0.792682926829268	0.06620137423966	0.0835155798100325	2.31910569105691	0.620792067706984	0.267685974856999
1075	"90min"	1	"G14"	35	100	"DMSO"	805.976516634051	988.457925636008	182.481409001957	0	0	85	85.3574735449735	56.7454798331015	1002.62352941176	16.3692339688909	0.0163264011752194	196.647012777714	16.3692339688909	0.0832417118250068	1.05654761904762	0.0625895800947046	0.0592397152445655	0.94973544973545	0.0556351823064041	0.0585796627070216	0.702941176470588	0.0639023348819223	0.0909070872797221	0.208823529411765	0.0590986214629709	0.283007483062114	0.494117647058824	0.0607060465656911	0.12285747519247	2.67647058823529	1.15136017479364	0.430178526845975
1075	"90min"	1	"H14"	35	10	"DMSO"	762.972602739726	1628.83953033268	865.866927592955	0	0	39	39.6743296579943	26.0361613351878	1640.5641025641	12.1347584101792	0.00739669872772011	877.591499824377	12.1347584101792	0.013827342690315	2.26644736842105	0.0517518493563906	0.0228339074083349	0.441438994803831	0.00989582987273203	0.0224172082421708	1.37179487179487	0.0349715519628977	0.0254932808701498	0.397435897435897	0.048597051498059	0.122276452156406	0.974358974358974	0.0511342336556632	0.0524798713834438	2.49145299145299	0.344545462817925	0.138290974784553
1075	"90min"	1	"I14"	35	1	"DMSO"	778.115459882583	1746.81604696673	968.700587084149	0	0	44	44.9784826721386	29.3741307371349	1762.25	13.7825724132174	0.00782100860446441	984.134540117417	13.7825724132174	0.0140047644416311	2	0.0609937545592833	0.0304968772796417	0.500455996352029	0.015331164934293	0.03063439152702	1.19602272727273	0.0626319959231641	0.0523668944535718	0.394886363636364	0.0535320881424212	0.135563273569297	0.801136363636364	0.0677620978331428	0.0845824767278945	2.07386363636364	0.383449556484115	0.18489622449645
1075	"90min"	1	"J14"	35	0.1	"DMSO"	726.500978473581	1542.48923679061	815.988258317026	0	0	51	51.5098974358974	34.0472878998609	1556.92156862745	12.7527928505954	0.00819103101117544	830.42059015387	12.7527928505954	0.0153570287174989	1.7475	0.0691142945727272	0.0395503831603589	0.573128205128205	0.0227996432236716	0.0397810525108801	1.02450980392157	0.0560112033611204	0.0546712224194668	0.357843137254902	0.0501223992039566	0.140068074487769	0.666666666666667	0.0595119035711904	0.0892678553567856	1.92320261437909	0.470473501808698	0.244630232036469
1083	"90min"	1	"G14"	35	100	"DMSO"	893.549902152642	893.549902152642	0	0	0	0	0	0	893.549902152642	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA
1083	"90min"	1	"H14"	35	10	"DMSO"	839.348336594912	839.348336594912	0	0	0	0	0	0	839.348336594912	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA
