"","Cell.line","baseline","treatment"
"239","11235",NA,NA
"240","11235",NA,NA
"241","11235",NA,NA
"242","11235",NA,NA
"243","11235",NA,NA
"244","11235",NA,NA
"245","11235",NA,NA
"246","11235",NA,NA
"247","11235",NA,NA
"248","11235",NA,NA
"249","11235",NA,NA
"250","11235",NA,NA
"251","11235",NA,NA
"252","11235",NA,NA
"253","11235",NA,NA
"254","11235",NA,NA
"255","11235",NA,NA
"256","11235",NA,NA
"257","11235",NA,NA
"258","11235",NA,NA
"259","11235",NA,NA
"260","11235",NA,NA
"261","11235",NA,NA
"262","11235",NA,NA
"263","11235",NA,NA
"264","11235",NA,NA
"265","11235",NA,NA
"266","11235",NA,NA
"267","11235",NA,NA
"268","11235",NA,NA
"269","11235",NA,NA
"270","11235",NA,NA
"271","11235",NA,NA
"272","11235",NA,NA
"273","11235",NA,NA
"274","11235",NA,NA
"275","11235",NA,NA
"276","11235",NA,NA
"277","11235",NA,NA
"278","11235",NA,NA
"279","11235",NA,NA
"280","11235",NA,NA
"281","11235",NA,NA
"282","11235",NA,NA
"283","11235",2.151378299,2.080332882
"284","11235",2.229967661,2.378346519
"285","11235",2.248375481,2.326500115
"286","11235",1.99086821,2.210603256
"287","11235",2.132240782,2.255741399
"288","11235",2.115139979,2.339947361
"289","11235",2.165270855,2.309330455
"290","11235",2.128540195,2.332277924
"291","11235",2.183068073,1.997791058
"292","11235",2.094135881,2.011052182
"293","11235",2.108702703,2.172684434
"294","11235",2.260442391,2.089481953
"295","11235",2.317586534,2.345116941
"296","11235",2.098950333,2.530546663
"297","11235",2.306035165,2.313120759
"298","11235",2.169843051,2.443723924
"299","11235",2.178402019,2.476821878
"300","11235",2.29944424,2.445036097
"301","11235",NA,NA
"302","11235",NA,NA
"303","11235",NA,NA
"304","11235",NA,NA
"305","11235",NA,NA
"306","11235",NA,NA
"307","11235",NA,NA
"308","11235",NA,NA
"309","11235",NA,NA
"310","11235",NA,NA
"311","11235",NA,NA
"312","11235",NA,NA
"313","11235",NA,NA
"314","11235",NA,NA
"315","11235",NA,NA
"316","11235",NA,NA
"317","11235",NA,NA
"318","11235",NA,NA
"319","11235",NA,NA
"320","11235",NA,NA
"321","11235",NA,NA
"322","11235",NA,NA
"323","11235",NA,NA
"324","11235",NA,NA
"325","11235",NA,NA
"326","11235",NA,NA
"327","11235",NA,NA
"328","11235",NA,NA
"329","11235",NA,NA
"330","11235",NA,NA
"331","11235",NA,NA
"332","11235",NA,NA
"333","11235",NA,NA
"334","11235",NA,NA
"335","11235",NA,NA
"336","11235",NA,NA
"337","11235",NA,NA
"338","11235",NA,NA
"339","11235",NA,NA
"340","11235",NA,NA
"341","11235",NA,NA
"342","11235",NA,NA
"343","11235",NA,NA
"344","11235",NA,NA
"345","11235",NA,NA
"346","11235",NA,NA
"347","11235",NA,NA
"348","11235",NA,NA
"349","11235",NA,NA
"350","11235",NA,NA
"351","11235",NA,NA
"352","11235",NA,NA
"353","11235",NA,NA
"354","11235",NA,NA
"355","11235",NA,NA
"356","11235",NA,NA
"357","11235",NA,NA
"358","11235",NA,NA
"359","11235",NA,NA
"360","11235",NA,NA
"361","11235",NA,NA
"362","11235",NA,NA
"363","11235",NA,NA
"364","11235",NA,NA
"365","11235",NA,NA
"366","11235",NA,NA
"367","11235",NA,NA
"368","11235",NA,NA
"369","11235",NA,NA
"370","11235",NA,NA
"371","11235",NA,NA
"372","11235",NA,NA
"373","11235",NA,NA
"374","11235",NA,NA
"375","11235",NA,NA
"376","11235",NA,NA
"377","11235",2.178326982,2.367065237
"378","11235",2.181074039,2.147110174
"379","11235",2.202788043,2.196794894
"380","11235",2.182682354,2.22793674
"381","11235",2.251525703,2.077273267
"382","11235",2.002101498,2.360414775
"383","11235",2.230615708,2.399591409
"384","11235",2.040731041,2.124911095
"385","11235",2.140232859,2.103380917
"386","11235",2.144534883,2.195813689
"387","11235",2.171343481,2.069695931
"388","11235",2.014721629,2.16795555
"389","11235",2.204746178,2.655836883
"390","11235",2.161680118,2.448590553
"391","11235",2.080598824,2.532027444
"392","11235",2.259637837,2.48500304
"393","11235",2.179355309,2.410388159
"394","11235",1.939741514,2.334243726
"395","11235",NA,NA
"396","11235",NA,NA
"397","11235",NA,NA
"398","11235",NA,NA
"399","11235",NA,NA
"400","11235",NA,NA
"401","11235",NA,NA
"402","11235",NA,NA
"403","11235",NA,NA
"404","11235",NA,NA
"405","11235",NA,NA
"406","11235",NA,NA
"407","11235",NA,NA
"408","11235",NA,NA
"409","11235",NA,NA
"410","11235",NA,NA
"411","11235",NA,NA
"412","11235",NA,NA
"413","11235",NA,NA
"414","11235",NA,NA
"415","11235",NA,NA
"416","11235",NA,NA
"417","11235",NA,NA
"418","11235",NA,NA
"419","11235",NA,NA
"420","11235",NA,NA
